HeroRank,VillainRank,CharacterID,CharacterName,CharacterType,Actor,ActorID,Gender,Film,FilmCode,FilmReleaseYear,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,Film-Noir,History,Horror,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western,RTCriticScore,RTAudienceScore
39,N/A,63,Lassie,Hero,Pal,34,A,Lassie Come Home,38,1943,N/A,Y,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,94,75
40,N/A,62,Frank Serpico,Hero,Al Pacino,35,M,Serpico,39,1973,N/A,N/A,N/A,Y,N/A,Y,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,90,88
41,N/A,61,Arthur Chipping,Hero,Robert Donat,36,M,"Goodbye, Mr. Chips",40,1939,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,81,87
42,N/A,60,Father Edward,Hero,Spencer Tracy,37,M,Boys Town,41,1938,N/A,N/A,N/A,Y,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,89,81
43,N/A,59,Moses,Hero,Charlton Heston,38,M,The Ten Commandments,42,1956,N/A,Y,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,94,87
44,N/A,58,"Jimmy ""Popeye"" Doyle",Hero,Gene Hackman,39,M,The French Connection,43,1971,Y,N/A,N/A,N/A,N/A,Y,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,98,87
45,N/A,57,Zorro,Hero,Tyrone Power,40,M,The Mark of Zorro,44,1940,Y,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,Y,100,78
46,N/A,56,Batman,Hero,Michael Keaton,41,M,Batman,45,1989,Y,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,72,84
47,N/A,55,Karen Silkwood,Hero,Meryl Streep,42,F,Silkwood,46,1983,N/A,N/A,N/A,Y,N/A,N/A,Y,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,75,78
48,N/A,54,The T-800,Hero,Arnold Schwarzenegger,43,M,Terminator 2: Judgment Day,47,1991,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,93,94
49,N/A,53,Andrew Beckett,Hero,Tom Hanks,44,M,Philadelphia,48,1993,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,78,89
50,N/A,52,General Maximus Decimus Meridius,Hero,Russell Crowe,45,M,Gladiator,49,2000,Y,Y,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,76,87
N/A,1,1,Dr. Hannibal Lecter,Villain,Anthony Hopkins,46,M,The Silence of the Lambs,6,1991,N/A,N/A,N/A,N/A,N/A,Y,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,95,95
N/A,2,2,Norman Bates,Villain,Anthony Perkins,47,M,Psycho,50,1960,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,Y,N/A,N/A,N/A,Y,N/A,N/A,97,94
N/A,3,3,Darth Vader,Villain,David Prowse (voiced by James Earl Jones),48,M,The Empire Strikes Back,51,1980,Y,Y,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,94,97
N/A,4,4,The Wicked Witch of the West,Villain,Margaret Hamilton,49,F,The Wizard of Oz,52,1939,N/A,Y,N/A,N/A,N/A,N/A,N/A,Y,Y,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,99,89
N/A,5,5,Nurse Ratched,Villain,Louise Fletcher,50,F,One Flew Over the Cuckoo's Nest,53,1975,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,95,96
N/A,6,6,Mr. Potter,Villain,Lionel Barrymore,51,M,It's a Wonderful Life,9,1946,N/A,N/A,N/A,N/A,N/A,N/A,Y,Y,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,95,94
N/A,7,7,Alex Forrest,Villain,Glenn Close,52,F,Fatal Attraction,54,1987,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,78,71
N/A,8,8,Phyllis Dietrichson,Villain,Barbara Stanwyck,53,F,Double Indemnity,55,1944,N/A,N/A,N/A,N/A,N/A,Y,Y,N/A,N/A,Y,N/A,N/A,N/A,Y,N/A,N/A,N/A,Y,N/A,N/A,96,95
N/A,9,9,"Regan MacNeil (as possessed by ""Satan"")",Villain,Linda Blair (voiced by Mercedes McCambridge),54,F,The Exorcist,56,1973,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,86,87
N/A,10,10,The Evil Queen,Villain,Voice of Lucille La Verne,55,F,Snow White and the Seven Dwarfs,57,1937,N/A,N/A,Y,N/A,N/A,N/A,N/A,Y,Y,N/A,N/A,N/A,Y,N/A,Y,N/A,N/A,N/A,N/A,N/A,98,78
N/A,11,11,Michael Corleone,Villain,Al Pacino,35,M,The Godfather Part II,58,1974,N/A,N/A,N/A,N/A,N/A,Y,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,97,97
N/A,12,12,Alex DeLarge,Villain,Malcolm McDowell,56,M,A Clockwork Orange,59,1971,N/A,N/A,N/A,N/A,N/A,Y,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,91,93
N/A,13,13,HAL 9000,Villain,Voice of Douglas Rain,57,M,2001: A Space Odyssey,60,1968,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,94,89
N/A,14,14,The Alien,Villain,Bolaji Badejo,58,M,Alien,61,1979,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,97,94
N/A,15,15,Amon Goeth,Villain,Ralph Fiennes,59,M,Schindler's List,13,1993,N/A,N/A,N/A,Y,N/A,N/A,Y,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,97,97
N/A,16,16,Noah Cross,Villain,John Huston,60,M,Chinatown,62,1974,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,Y,N/A,N/A,98,93
N/A,17,17,Annie Wilkes,Villain,Kathy Bates,61,F,Misery,63,1990,N/A,N/A,N/A,N/A,N/A,Y,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,89,89
N/A,18,18,The Shark,Villain,"""Bruce""",62,A,Jaws,64,1975,N/A,Y,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,97,90
N/A,19,19,Captain Bligh,Villain,Charles Laughton,63,M,Mutiny on the Bounty,65,1935,N/A,Y,N/A,Y,N/A,N/A,Y,N/A,N/A,N/A,Y,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,94,83
