HeroRank,VillainRank,CharacterID,CharacterName,CharacterType,Actor,ActorID,Gender,Film,FilmCode,FilmReleaseYear,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,Film-Noir,History,Horror,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western,RTCriticScore,RTAudienceScore
1,N/A,104,Atticus Finch,H,Gregory Peck,1,M,To Kill a Mockingbird,1,1962,N/A,N/A,N/A,N/A,N/A,Y,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,91,92
2,N/A,103,Indiana Jones,H,Harrison Ford,2,M,Raiders of the Lost Ark,2,1981,Y,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,94,96
3,N/A,102,James Bond,H,Sean Connery,3,M,Dr. No,3,1962,Y,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,96,82
4,N/A,101,Rick Blaine,H,Humphrey Bogart,4,M,Casablanca,4,1942,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,Y,N/A,97,95
5,N/A,100,Will Kane,H,Gary Cooper,5,M,High Noon,5,1952,Y,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,Y,96,89
6,N/A,99,Clarice Starling,H,Jodie Foster,6,F,The Silence of the Lambs,6,1991,N/A,N/A,N/A,N/A,N/A,Y,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,95,95
7,N/A,98,Rocky Balboa,H,Sylvester Stallone,7,M,Rocky,7,1976,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,93,69
8,N/A,97,Ellen Ripley,H,Sigourney Weaver,8,F,Aliens,8,1986,Y,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,Y,N/A,N/A,98,94
9,N/A,96,George Bailey,H,James Stewart,9,M,It's a Wonderful Life,9,1946,N/A,N/A,N/A,N/A,N/A,N/A,Y,Y,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,94,95
10,N/A,95,T. E. Lawrence,H,Peter O'Toole,10,M,Lawrence of Arabia,10,1962,N/A,Y,N/A,Y,N/A,N/A,Y,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,98,93
11,N/A,94,Jefferson Smith,H,James Stewart,9,M,Mr. Smith Goes to Washington,11,1939,N/A,N/A,N/A,N/A,Y,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,94,94
12,N/A,93,Tom Joad,H,Henry Fonda,11,M,The Grapes of Wrath,12,1940,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,88
13,N/A,92,Oskar Schindler,H,Liam Neeson,12,M,Schindler's List,13,1993,N/A,N/A,N/A,Y,N/A,N/A,Y,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,97,97
14,N/A,91,Han Solo,H,Harrison Ford,2,M,Star Wars,14,1977,Y,Y,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,93,96
15,N/A,90,Norma Rae Webster,H,Sally Field,13,F,Norma Rae,15,1979,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,92,79
16,N/A,89,Shane,H,Alan Ladd,14,M,Shane,16,1953,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,97,81
17,N/A,88,Harry Callahan,H,Clint Eastwood,15,M,Dirty Harry,17,1971,Y,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,95,90
18,N/A,87,Robin Hood,H,Errol Flynn,16,M,The Adventures of Robin Hood,18,1938,Y,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,100,89
19,N/A,86,Virgil Tibbs,H,Sidney Poitier,17,M,In the Heat of the Night,19,1967,N/A,N/A,N/A,N/A,N/A,Y,Y,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,Y,N/A,N/A,96,92
20,N/A,85,Butch Cassidy,H,"Paul Newman",18,M,Butch Cassidy and the Sundance Kid,20,1969,N/A,N/A,N/A,Y,N/A,Y,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,89,92
20,N/A,84,The Sundance Kid,H,Robert Redford,19,M,Butch Cassidy and the Sundance Kid,20,1969,N/A,N/A,N/A,Y,N/A,Y,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,89,92
21,N/A,83,Mahatma Gandhi,H,Ben Kingsley,20,M,Gandhi,21,1982,N/A,N/A,N/A,Y,N/A,N/A,Y,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,87,92
22,N/A,82,Spartacus,H,Kirk Douglas,21,M,Spartacus,22,1960,N/A,Y,N/A,Y,N/A,N/A,Y,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,96,87
23,N/A,81,Terry Malloy,H,Marlon Brando,22,M,On the Waterfront,23,1954,N/A,N/A,N/A,N/A,N/A,Y,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,98,95
24,N/A,80,Thelma Dickinson,H,Geena Davis,23,F,Thelma & Louise,24,1991,N/A,Y,N/A,N/A,N/A,Y,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,84,82
24,N/A,79,Louise Sawyer,H,Susan Sarandon,24,F,Thelma & Louise,24,1991,N/A,Y,N/A,N/A,N/A,Y,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,84,82
25,N/A,78,Lou Gehrig,H,Gary Cooper,5,M,The Pride of the Yankees,25,1942,N/A,N/A,N/A,Y,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,Y,N/A,N/A,N/A,92,89
26,N/A,77,Superman,H,Christopher Reeve,25,M,Superman,26,1978,Y,Y,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,93,86
27,N/A,76,Bob Woodward,H,Robert Redford,19,M,All the President's Men,27,1976,N/A,N/A,N/A,Y,N/A,N/A,Y,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,93,92
27,N/A,75,Carl Bernstein,H,Dustin Hoffman,26,M,All the President's Men,27,1976,N/A,N/A,N/A,Y,N/A,N/A,Y,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,93,92
28,N/A,74,Juror #8,H,Henry Fonda,11,M,12 Angry Men,28,1957,N/A,N/A,N/A,N/A,N/A,Y,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,97
29,N/A,73,General George Patton,H,George C. Scott,27,M,Patton,29,1970,N/A,N/A,N/A,Y,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,95,94
30,N/A,72,Lucas (Luke) Jackson,H,Paul Newman,18,M,Cool Hand Luke,30,1967,N/A,N/A,N/A,N/A,N/A,Y,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,95
31,N/A,71,Erin Brockovich,H,Julia Roberts,28,F,Erin Brockovich,31,2000,N/A,N/A,N/A,Y,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,84,81
32,N/A,70,Philip Marlowe,H,Humphrey Bogart,4,M,The Big Sleep,32,1946,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,Y,N/A,N/A,N/A,Y,N/A,N/A,N/A,Y,N/A,N/A,96,91
33,N/A,69,Marge Gunderson,H,Frances McDormand,29,F,Fargo,33,1996,N/A,N/A,N/A,N/A,N/A,Y,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,93,92
34,N/A,68,Tarzan,H,Johnny Weissmuller,30,M,Tarzan the Ape Man,34,1932,Y,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,100,67
35,N/A,67,Alvin York,H,Gary Cooper,5,M,Sergeant York,35,1941,N/A,N/A,N/A,Y,N/A,N/A,Y,N/A,N/A,N/A,Y,N/A,N/A,N/A,Y,N/A,N/A,N/A,Y,N/A,85,87
36,N/A,66,Rooster Cogburn,H,John Wayne,31,M,True Grit,36,1969,N/A,Y,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,90,84
37,N/A,65,Obi-Wan Kenobi,H,Alec Guinness,32,M,Star Wars,14,1977,Y,Y,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,93,96
38,N/A,64,The Tramp,H,Charlie Chaplin,33,M,City Lights,37,1931,N/A,N/A,N/A,N/A,Y,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,98,96
39,N/A,63,Lassie,H,Pal,34,A,Lassie Come Home,38,1943,N/A,Y,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,94,75
40,N/A,62,Frank Serpico,H,Al Pacino,35,M,Serpico,39,1973,N/A,N/A,N/A,Y,N/A,Y,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,90,88
41,N/A,61,Arthur Chipping,H,Robert Donat,36,M,"Goodbye, Mr. Chips",40,1939,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,81,87
42,N/A,60,Father Edward,H,Spencer Tracy,37,M,Boys Town,41,1938,N/A,N/A,N/A,Y,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,89,81
